order_id,order_date,delivery_date,business_id,rider_id,flour_type_id,quantity_bags,price_per_bag,total_amount,payment_method,order_status
ORD-214576,2025-10-25,2025-10-25,BIZ-1018,1,1,26,9500.0,247000.0,POS,Delivered
ORD-299448,2025-10-08,2025-10-08,BIZ-1006,2,2,27,10000.0,270000.0,POS,Cancelled
ORD-246991,2025-10-17,2025-10-17,BIZ-1052,2,3,21,9800.0,205800.0,Bank Transfer,Cancelled
ORD-392075,2025-10-13,2025-10-13,BIZ-1035,2,4,20,10500.0,210000.0,Bank Transfer,Pending
ORD-179046,2025-10-14,2025-10-14,BIZ-1039,3,2,40,10000.0,380000.0,POS,Pending
ORD-997546,2025-10-14,2025-10-14,BIZ-1025,3,2,9,10000.0,90000.0,Cash,Pending
ORD-153045,2025-10-17,2025-10-17,BIZ-1001,2,4,11,10500.0,115500.0,POS,Cancelled
ORD-666847,2025-10-20,2025-10-20,BIZ-1004,1,5,20,9500.0,190000.0,Bank Transfer,Delivered
ORD-197793,2025-10-26,2025-10-26,BIZ-1023,2,5,36,9800.0,352800.0,POS,Delivered
ORD-989921,2025-10-28,2025-10-28,BIZ-1032,2,3,22,9800.0,215600.0,Cash,Delivered
ORD-526156,2025-10-08,2025-10-08,BIZ-1021,2,4,6,10500.0,63000.0,Bank Transfer,Pending
ORD-324130,2025-10-15,2025-10-15,BIZ-1015,1,3,9,10000.0,90000.0,POS,Cancelled
ORD-161483,2025-10-26,2025-10-26,BIZ-1037,3,4,28,9500.0,266000.0,POS,Delivered
ORD-102260,2025-10-05,2025-10-05,BIZ-1033,2,2,35,9500.0,332500.0,Cash,Delivered
ORD-378085,2025-10-30,2025-10-30,BIZ-1007,2,4,3,10000.0,30000.0,Cash,Delivered
ORD-923267,2025-10-28,2025-10-28,BIZ-1054,2,3,16,9500.0,152000.0,POS,Cancelled
ORD-543555,2025-10-14,2025-10-14,BIZ-1039,1,2,10,9800.0,98000.0,Cash,Delivered
ORD-865990,2025-10-21,2025-10-21,BIZ-1033,4,2,12,10000.0,120000.0,Cash,Delivered
ORD-682765,2025-10-30,2025-10-30,BIZ-1034,3,3,7,10500.0,73500.0,Bank Transfer,Delivered
ORD-610311,2025-10-20,2025-10-20,BIZ-1038,2,2,30,10000.0,300000.0,Bank Transfer,Delivered
ORD-411120,2025-10-05,2025-10-05,BIZ-1038,2,5,13,10500.0,136500.0,Bank Transfer,Pending
ORD-161324,2025-10-07,2025-10-07,BIZ-1057,2,4,23,10500.0,241500.0,Bank Transfer,Pending
ORD-668532,2025-10-18,2025-10-18,BIZ-1048,3,4,12,10000.0,120000.0,POS,Pending
ORD-428838,2025-10-02,2025-10-02,BIZ-1009,4,4,23,10000.0,230000.0,Cash,Cancelled
ORD-712554,2025-10-02,2025-10-02,BIZ-1010,3,3,13,10000.0,130000.0,Bank Transfer,Cancelled
ORD-994141,2025-10-15,2025-10-15,BIZ-1005,2,3,35,9800.0,343000.0,Bank Transfer,Cancelled
ORD-159642,2025-10-16,2025-10-16,BIZ-1029,3,5,22,10000.0,220000.0,POS,Pending
ORD-184002,2025-10-29,2025-10-29,BIZ-1009,4,1,27,10000.0,270000.0,POS,Delivered
ORD-171849,2025-10-26,2025-10-26,BIZ-1061,4,2,13,10500.0,136500.0,POS,Cancelled
ORD-808011,2025-10-18,2025-10-18,BIZ-1060,3,1,20,10500.0,210000.0,Cash,Delivered
ORD-523389,2025-10-26,2025-10-26,BIZ-1045,4,3,28,10000.0,280000.0,Cash,Cancelled
ORD-697347,2025-10-04,2025-10-04,BIZ-1034,1,4,14,10500.0,147000.0,Cash,Cancelled
ORD-723398,2025-10-08,2025-10-08,BIZ-1011,3,2,40,10000.0,400000.0,POS,Pending
ORD-185965,2025-10-02,2025-10-02,BIZ-1015,1,4,15,9800.0,147000.0,Bank Transfer,Delivered
ORD-712024,2025-10-13,2025-10-13,BIZ-1035,4,3,31,9500.0,294500.0,POS,Cancelled
ORD-431737,2025-10-17,2025-10-17,BIZ-1029,4,3,13,10500.0,136500.0,Bank Transfer,Delivered
ORD-314181,2025-10-29,2025-10-29,BIZ-1055,4,2,1,9500.0,9500.0,Bank Transfer,Cancelled
ORD-429445,2025-10-21,2025-10-21,BIZ-1055,3,2,34,10500.0,357000.0,Bank Transfer,Pending
ORD-515011,2025-10-08,2025-10-08,BIZ-1038,2,3,9,10500.0,94500.0,POS,Cancelled
ORD-776856,2025-10-04,2025-10-04,BIZ-1025,4,2,33,10500.0,346500.0,POS,Pending
ORD-431535,2025-10-09,2025-10-09,BIZ-1046,1,5,29,10000.0,290000.0,POS,Pending
ORD-176066,2025-10-28,2025-10-28,BIZ-1013,4,4,16,10000.0,160000.0,POS,Pending
ORD-751332,2025-10-01,2025-10-01,BIZ-1042,2,5,16,10000.0,160000.0,POS,Delivered
ORD-204837,2025-10-30,2025-10-30,BIZ-1017,1,3,9,9800.0,88200.0,POS,Delivered
ORD-323508,2025-10-03,2025-10-03,BIZ-1038,4,3,14,9500.0,133000.0,Cash,Cancelled
ORD-238890,2025-10-16,2025-10-16,BIZ-1039,3,2,30,10500.0,315000.0,Cash,Pending
ORD-172132,2025-10-28,2025-10-28,BIZ-1014,4,3,38,9500.0,361000.0,Bank Transfer,Pending
ORD-487477,2025-10-27,2025-10-27,BIZ-1045,4,2,20,10500.0,210000.0,Cash,Delivered
ORD-559469,2025-10-09,2025-10-09,BIZ-1012,4,4,18,10500.0,189000.0,Cash,Pending
ORD-837715,2025-10-26,2025-10-26,BIZ-1019,4,2,26,9800.0,254800.0,POS,Cancelled
ORD-946305,2025-10-10,2025-10-10,BIZ-1053,3,4,2,10500.0,21000.0,POS,Pending
